Timestamp,Pose,Calibration_Valid,Combined_Eye_Gaze_Valid,Combined_Eye_Gaze_Origin,Combined_Eye_Gaze_Direction,Left_Eye_Gaze_Valid,Left_Eye_Gaze_Origin,Left_Eye_Gaze_Direction,Right_Eye_Gaze_Valid,Right_Eye_Gaze_Origin,Right_Eye_Gaze_Direction,Left_Eye_Openness_Valid,Left_Eye_Openness,Right_Eye_Openness_Valid,Right_Eye_Openness,Vergence_Distance_Valid,Vergence_Distance,Target
35240119522,"[[ 0.03652942 -0.87526083  0.4822696   0.        ]
 [-0.9642428   0.09588981  0.24706453  0.        ]
 [-0.26249063 -0.4740501  -0.84046113  0.        ]
 [ 0.04389573  0.04306111 -0.14891699  1.        ]]",False,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35240235430,"[[ 0.03652942 -0.87526083  0.4822696   0.        ]
 [-0.9642428   0.09588981  0.24706453  0.        ]
 [-0.26249063 -0.4740501  -0.84046113  0.        ]
 [ 0.04389573  0.04306111 -0.14891699  1.        ]]",False,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35240371651,"[[ 0.02068484 -0.96927726  0.24509963  0.        ]
 [-0.9989145  -0.00980198  0.04553937  0.        ]
 [-0.04173782 -0.24577555 -0.9684279   0.        ]
 [ 0.03232173  0.07862172 -0.12945792  1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35240525274,"[[ 0.02310532 -0.9714197   0.23624092  0.        ]
 [-0.9989798  -0.01326323  0.04316518  0.        ]
 [-0.03879815 -0.23699728 -0.9707351   0.        ]
 [ 0.03223523  0.07973082 -0.12846033  1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35240632139,"[[ 0.02475411 -0.97278416  0.23038688  0.        ]
 [-0.99901545 -0.01558447  0.04153552  0.        ]
 [-0.03681464 -0.23118821 -0.9722121   0.        ]
 [ 0.03217015  0.0804539  -0.12775397  1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35240742819,"[[ 0.02649158 -0.97408265  0.2246365   0.        ]
 [-0.9990416  -0.01796532  0.0399172   0.        ]
 [-0.03484703 -0.22547865 -0.97362506  0.        ]
 [ 0.0320716   0.08114631 -0.12705609  1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35240853934,"[[ 0.02824366 -0.97527283  0.2191926   0.        ]
 [-0.9990589  -0.02031982  0.03832162  0.        ]
 [-0.03292008 -0.22006866 -0.97492886  0.        ]
 [ 0.031957    0.08179384 -0.12637061  1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35240965046,"[[ 0.02996582 -0.97636807  0.21402639  0.        ]
 [-0.99906933 -0.02261078  0.03673058  0.        ]
 [-0.03102323 -0.21492788 -0.9761369   0.        ]
 [ 0.03183897  0.08242129 -0.12569746  1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35241076159,"[[ 0.031654   -0.97737175  0.20914729  0.        ]
 [-0.99907094 -0.02481723  0.03523362  0.        ]
 [-0.0292459  -0.21006826 -0.97724926  0.        ]
 [ 0.03169242  0.08299699 -0.1250464   1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
35241187272,"[[ 0.0332793  -0.9782813   0.20459257  0.        ]
 [-0.99906534 -0.02691209  0.0338261   0.        ]
 [-0.02758542 -0.20552705 -0.97826266  0.        ]
 [ 0.03152934  0.08353367 -0.12441194  1.        ]]",True,False,[ 0.04575959 -0.05007174 -0.03278007],[-0.06539102  0.1093594   0.99184906],False,[ 0.04603117 -0.01531701 -0.03239099],[-0.05883     0.03761661  0.9975591 ],False,[ 0.04566369 -0.07783175 -0.03301913],[-0.05656637  0.1523054   0.9867134 ],False,0.0,False,0.0,False,0.0,False
