Timestamp,Hand,Joint,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W
32282893926,Left,Palm,-0.23508736,-0.386251,-0.4220034,-0.0800841,-0.109807506,0.9881702,-0.06793804
32282893926,Left,Wrist,-0.2479103,-0.3981305,-0.3771953,-0.0800841,-0.109807506,0.9881702,-0.06793804
32282893926,Left,ThumbMetacarpal,-0.26515552,-0.38504794,-0.3975622,0.2531805,0.028103363,0.8302137,0.4964157
32282893926,Left,ThumbProximal,-0.28501222,-0.37597364,-0.43615463,-0.10432567,-0.16044179,0.82187814,0.5371074
32282893926,Left,ThumbDistal,-0.27412504,-0.3711631,-0.46550906,0.027656842,-0.08782758,0.8413323,0.5331432
32282893926,Left,ThumbTip,-0.27320826,-0.36771926,-0.48459464,0.027656842,-0.08782758,0.8413323,0.5331432
32282893926,Left,IndexMetacarpal,-0.2540416,-0.3881192,-0.39643145,0.016105141,-0.07509571,0.9753417,-0.20690542
32282893926,Left,IndexProximal,-0.2578969,-0.37949303,-0.45739684,-0.2038759,-0.14862652,0.96679676,0.04083206
32282893926,Left,IndexIntermediate,-0.2392555,-0.36707222,-0.497434,-0.18070294,-0.1819537,0.9596479,0.11594437
32282893926,Left,IndexDistal,-0.2298805,-0.35966322,-0.5183754,-0.23791863,-0.112834156,0.96462446,0.02674811
32282893926,Left,IndexTip,-0.22302191,-0.35663876,-0.53110415,-0.23791863,-0.112834156,0.96462446,0.02674811
32282893926,Left,MiddleMetacarpal,-0.24602203,-0.38940513,-0.39376938,-0.07936609,-0.051487766,0.9950636,-0.029972762
32282893926,Left,MiddleProximal,-0.23636648,-0.38271973,-0.45500273,-0.12737972,-0.16149229,0.97844523,-0.019023672
32282893926,Left,MiddleIntermediate,-0.223978,-0.36636844,-0.5016501,-0.14657158,-0.09384216,0.9846954,-0.016030543
32282893926,Left,MiddleDistal,-0.21653278,-0.36142585,-0.5261448,-0.17172943,-0.11308755,0.97484535,-0.09080863
32282893926,Left,MiddleTip,-0.21138619,-0.35729688,-0.5411709,-0.17172943,-0.11308755,0.97484535,-0.09080863
32282893926,Left,RingMetacarpal,-0.23522028,-0.39053163,-0.3907955,-0.13148224,-0.101989985,0.9843828,0.057453625
32282893926,Left,RingProximal,-0.21847054,-0.3790369,-0.44927108,-0.08751635,-0.10908705,0.98985213,-0.025512286
32282893926,Left,RingIntermediate,-0.21103154,-0.36925766,-0.4918993,-0.11822073,-0.05870478,0.9877191,-0.08432614
32282893926,Left,RingDistal,-0.20582512,-0.36609468,-0.5143658,-0.12868805,-0.06828903,0.9842694,-0.1023935
32282893926,Left,RingTip,-0.20163311,-0.36327583,-0.531148,-0.12868805,-0.06828903,0.9842694,-0.1023935
32282893926,Left,LittleMetacarpal,-0.22699322,-0.38881406,-0.38724044,-0.1876992,-0.15196145,0.9579173,0.15514927
32282893926,Left,LittleProximal,-0.2029403,-0.37504232,-0.4394765,-0.04484884,-0.028859394,0.9970438,-0.055461228
32282893926,Left,LittleIntermediate,-0.19982333,-0.3727818,-0.47541937,-0.16739929,-0.029071398,0.9726056,-0.15904671
32282893926,Left,LittleDistal,-0.19376484,-0.37067893,-0.4934636,-0.08636603,-0.115722746,0.9687076,-0.20321093
32282893926,Left,LittleTip,-0.19205578,-0.36699203,-0.50708926,-0.08636603,-0.115722746,0.9687076,-0.20321093
32282893926,Right,Palm,0.035553496,-0.10936156,-0.30521777,0.38363758,0.31728467,-0.24757925,0.8309349
32282893926,Right,Wrist,0.048119035,-0.14813901,-0.2747565,0.38363758,0.31728467,-0.24757925,0.8309349
32282893926,Right,ThumbMetacarpal,0.022899522,-0.1357487,-0.2783549,0.5674071,0.2592196,0.4362393,0.6489566
32282893926,Right,ThumbProximal,-0.01434743,-0.112883754,-0.28832963,0.43246055,0.09667075,0.43808252,0.7825266
32282893926,Right,ThumbDistal,-0.03129682,-0.09395275,-0.3077786,0.520892,0.19617948,0.43900654,0.7057298
32282893926,Right,ThumbTip,-0.045500495,-0.08306018,-0.31515598,0.520892,0.19617948,0.43900654,0.7057298
32282893926,Right,IndexMetacarpal,0.032377686,-0.13396063,-0.28368253,0.37565452,0.45911032,-0.3050362,0.7450198
32282893926,Right,IndexProximal,0.0036950426,-0.08100898,-0.30235824,0.3149002,0.3098626,-0.15996623,0.88275224
32282893926,Right,IndexIntermediate,-0.015899274,-0.052249677,-0.3291226,0.29729846,0.2824968,-0.061262645,0.9100459
32282893926,Right,IndexDistal,-0.027515974,-0.038252585,-0.34525657,-0.24554664,-0.28106642,0.15820968,-0.9145305
32282893926,Right,IndexTip,-0.034019664,-0.03025598,-0.35599908,-0.24554664,-0.28106642,0.15820968,-0.9145305
32282893926,Right,MiddleMetacarpal,0.03930751,-0.1347697,-0.28779536,0.44685543,0.29606718,-0.22995773,0.812271
32282893926,Right,MiddleProximal,0.022014083,-0.08064634,-0.31449783,0.32499748,0.30017453,-0.1900406,0.87645817
32282893926,Right,MiddleIntermediate,0.0015253067,-0.045853768,-0.34546304,0.3441988,0.28095222,-0.20841235,0.8714029
32282893926,Right,MiddleDistal,-0.007378252,-0.027417336,-0.36102977,0.32529095,0.28457457,-0.27879843,0.85810864
32282893926,Right,MiddleTip,-0.012410051,-0.015680889,-0.37129825,0.32529095,0.28457457,-0.27879843,0.85810864
32282893926,Right,RingMetacarpal,0.04815143,-0.13582584,-0.29380396,0.41975117,0.20354337,-0.16300808,0.869372
32282893926,Right,RingProximal,0.034911707,-0.08726207,-0.32825115,0.32441363,0.28798616,-0.20181966,0.87812704
32282893926,Right,RingIntermediate,0.01856231,-0.05734128,-0.35545328,0.22976923,0.31117296,-0.23667377,0.8913599
32282893926,Right,RingDistal,0.00835837,-0.044598546,-0.37149253,0.26267654,0.29251826,-0.25769144,0.8829566
32282893926,Right,RingTip,0.0017454444,-0.033935163,-0.38349336,0.26267654,0.29251826,-0.25769144,0.8829566
32282893926,Right,LittleMetacarpal,0.054212216,-0.13933842,-0.2996474,0.3761372,0.0963697,-0.08325673,0.91777027
32282893926,Right,LittleProximal,0.04765559,-0.09879865,-0.33972842,0.30769905,0.2633146,-0.24187568,0.88176095
32282893926,Right,LittleIntermediate,0.037868697,-0.078016065,-0.3605726,-0.18119434,-0.23089036,0.3424147,-0.89263546
32282893926,Right,LittleDistal,0.032677833,-0.06935007,-0.37548015,-0.14838615,-0.31281528,0.3253705,-0.8803498
32282893926,Right,LittleTip,0.026214711,-0.06276361,-0.38628358,-0.14838615,-0.31281528,0.3253705,-0.8803498
32283247759,Left,Palm,-0.23224103,-0.38691044,-0.42579204,-0.11138711,-0.107691385,0.9852402,-0.06967636
32283247759,Left,Wrist,-0.24780822,-0.39853367,-0.38234156,-0.11138711,-0.107691385,0.9852402,-0.06967636
32283247759,Left,ThumbMetacarpal,-0.26378748,-0.38559172,-0.40335053,0.22737944,0.013552792,0.833831,0.5034015
32283247759,Left,ThumbProximal,-0.2811864,-0.3764454,-0.4430961,-0.12668926,-0.18033187,0.81360286,0.5385846
32283247759,Left,ThumbDistal,-0.2684409,-0.37144026,-0.47184572,-0.008457787,-0.12719129,0.8354946,0.53503096
32283247759,Left,ThumbTip,-0.26554045,-0.36751163,-0.4905149,-0.008457787,-0.12719129,0.8354946,0.53503096
32283247759,Left,IndexMetacarpal,-0.2527665,-0.38866773,-0.40152785,-0.014933769,-0.069402784,0.9753185,-0.20907879
32283247759,Left,IndexProximal,-0.25275975,-0.37992808,-0.4626159,-0.23088689,-0.14657775,0.9611969,0.036401697
32283247759,Left,IndexIntermediate,-0.23194806,-0.3677949,-0.5015564,-0.2083705,-0.18796638,0.9536029,0.109634586
32283247759,Left,IndexDistal,-0.22137624,-0.3602532,-0.5218735,-0.26584777,-0.119068414,0.95666385,0.022298202
32283247759,Left,IndexTip,-0.21379313,-0.35706556,-0.53414786,-0.26584777,-0.119068414,0.95666385,0.022298202
32283247759,Left,MiddleMetacarpal,-0.24493305,-0.38996977,-0.398343,-0.11083415,-0.05099371,0.99203885,-0.031216003
32283247759,Left,MiddleProximal,-0.23139791,-0.3832187,-0.45893824,-0.15689372,-0.15335692,0.9754055,-0.021725647
32283247759,Left,MiddleIntermediate,-0.21616638,-0.3676513,-0.5049161,-0.17578183,-0.0936255,0.9798935,-0.01775027
32283247759,Left,MiddleDistal,-0.20728225,-0.36270788,-0.52889925,-0.20059112,-0.11052297,0.9693903,-0.09316148
32283247759,Left,MiddleTip,-0.20124945,-0.3585791,-0.5435926,-0.20059112,-0.11052297,0.9693903,-0.09316148
32283247759,Left,RingMetacarpal,-0.23434131,-0.39111465,-0.39469162,-0.16255106,-0.10391816,0.9796827,0.05477243
32283247759,Left,RingProximal,-0.21387768,-0.37958837,-0.4521071,-0.11746158,-0.101835154,0.9874869,-0.026816294
32283247759,Left,RingIntermediate,-0.20384088,-0.37039712,-0.49427536,-0.14724702,-0.056427956,0.98390144,-0.0848196
32283247759,Left,RingDistal,-0.19732165,-0.367233,-0.5163845,-0.15761733,-0.06552828,0.9801576,-0.10319259
32283247759,Left,RingTip,-0.19214661,-0.3644105,-0.5328897,-0.15761733,-0.06552828,0.9801576,-0.10319259
32283247759,Left,LittleMetacarpal,-0.22635283,-0.38939974,-0.3906328,-0.21879978,-0.15724197,0.9508213,0.15277612
32283247759,Left,LittleProximal,-0.19891265,-0.37567368,-0.44117084,-0.08276817,-0.021308081,0.99515295,-0.048810497
32283247759,Left,LittleIntermediate,-0.19305918,-0.37385622,-0.47663367,-0.20303392,-0.020954352,0.9667757,-0.154296
32283247759,Left,LittleDistal,-0.18567044,-0.3718815,-0.49417624,-0.12237518,-0.10631678,0.96625394,-0.20152566
32283247759,Left,LittleTip,-0.18291919,-0.36825886,-0.50764763,-0.12237518,-0.10631678,0.96625394,-0.20152566
32283247759,Right,Palm,0.03545203,-0.109706774,-0.30579787,0.380905,0.3195116,-0.259327,0.82775426
32283247759,Right,Wrist,0.047803983,-0.14841294,-0.27521008,0.380905,0.3195116,-0.259327,0.82775426
32283247759,Right,ThumbMetacarpal,0.022792079,-0.13560459,-0.27847236,0.57093745,0.2636907,0.42074907,0.65426624
32283247759,Right,ThumbProximal,-0.014187022,-0.112071425,-0.2878776,0.43521202,0.103426844,0.42235893,0.78875804
32283247759,Right,ThumbDistal,-0.031118266,-0.092957035,-0.30704483,0.5312965,0.20503487,0.42144096,0.7061652
32283247759,Right,ThumbTip,-0.04541677,-0.08175617,-0.31387705,0.5312965,0.20503487,0.42144096,0.7061652
32283247759,Right,IndexMetacarpal,0.032203794,-0.13404886,-0.28399727,0.3736126,0.46123672,-0.3176983,0.73942024
32283247759,Right,IndexProximal,0.0041716127,-0.08074702,-0.30261478,0.31323797,0.31569558,-0.1725711,0.8788942
32283247759,Right,IndexIntermediate,-0.015428226,-0.051815394,-0.32912832,0.2945023,0.2888406,-0.073067725,0.90809023
32283247759,Right,IndexDistal,-0.027126433,-0.037798397,-0.34515142,-0.24638557,-0.2863825,0.17189226,-0.91017884
32283247759,Right,IndexTip,-0.033628996,-0.029675193,-0.355784,-0.24638557,-0.2863825,0.17189226,-0.91017884
32283247759,Right,MiddleMetacarpal,0.039045703,-0.13503072,-0.28823468,0.4434639,0.2986306,-0.2431592,0.8093413
32283247759,Right,MiddleProximal,0.02224603,-0.0808738,-0.31511176,0.3167403,0.3060438,-0.20164827,0.8748561
32283247759,Right,MiddleIntermediate,0.0015298274,-0.04644702,-0.3462065,0.32971174,0.28801703,-0.2175302,0.872471
32283247759,Right,MiddleDistal,-0.007698119,-0.02844766,-0.36205366,0.31083888,0.29040775,-0.28794882,0.8584964
32283247759,Right,MiddleTip,-0.012935979,-0.016973017,-0.37251326,0.31083888,0.29040775,-0.28794882,0.8584964
32283247759,Right,RingMetacarpal,0.04775822,-0.1363121,-0.29439697,0.4164814,0.20687509,-0.17610668,0.8676016
32283247759,Right,RingProximal,0.034798812,-0.087745085,-0.32904163,0.32442555,0.2913376,-0.21484764,0.87391603
32283247759,Right,RingIntermediate,0.018693302,-0.05759866,-0.35603234,-0.22282863,-0.31726578,0.24650335,-0.8883097
32283247759,Right,RingDistal,0.008296312,-0.04495678,-0.37205058,0.24739105,0.30098155,-0.2666057,0.8818848
32283247759,Right,RingTip,0.0013646415,-0.03458681,-0.38416585,0.24739105,0.30098155,-0.2666057,0.8818848
32283247759,Right,LittleMetacarpal,0.053637523,-0.13998948,-0.30032083,0.373303,0.100645185,-0.0960847,0.91721493
32283247759,Right,LittleProximal,0.047149517,-0.09952082,-0.34061083,0.31456235,0.26641044,-0.25425017,0.8749012
32283247759,Right,LittleIntermediate,0.0376596,-0.07826472,-0.36107,-0.17349094,-0.23936698,0.34954524,-0.88916147
32283247759,Right,LittleDistal,0.03215513,-0.06966988,-0.375988,-0.13000643,-0.32602417,0.33429977,-0.87509257
32283247759,Right,LittleTip,0.025272677,-0.06335619,-0.38669798,-0.13000643,-0.32602417,0.33429977,-0.87509257
32283587798,Left,Palm,-0.22928412,-0.38671234,-0.43031675,-0.12739661,-0.10644864,0.98291576,-0.07661958
32283587798,Left,Wrist,-0.24618748,-0.3984424,-0.38743564,-0.12739661,-0.10644864,0.98291576,-0.07661958
32283587798,Left,ThumbMetacarpal,-0.261603,-0.38571984,-0.40894213,0.21416228,0.0072243474,0.8400282,0.4990059
32283587798,Left,ThumbProximal,-0.2778511,-0.3767863,-0.44920057,-0.13776216,-0.1900718,0.8143665,0.5313125
32283587798,Left,ThumbDistal,-0.26428145,-0.37158403,-0.47753024,-0.021948464,-0.1385411,0.8378017,0.52817655
32283587798,Left,ThumbTip,-0.26074928,-0.36755282,-0.4960535,-0.021948464,-0.1385411,0.8378017,0.52817655
32283587798,Left,IndexMetacarpal,-0.2506131,-0.38866395,-0.40675828,-0.030958388,-0.06537522,0.97378826,-0.21564797
32283587798,Left,IndexProximal,-0.2486318,-0.37998047,-0.46783906,-0.24364784,-0.145955,0.9584207,0.02794417
32283587798,Left,IndexIntermediate,-0.22689547,-0.36780512,-0.5062037,-0.22126281,-0.19053271,0.95120484,0.10038474
32283587798,Left,IndexDistal,-0.21582603,-0.36013576,-0.52621007,-0.27907604,-0.12242478,0.9526253,0.013791591
