Timestamp,UTC Nanoseconds,MainObject,Camera.x,Camera.y,Camera.z,Frwd.x,Frwd.y,Frwd.z,Rot.x,Rot.y,Rot.z,Gaze.x,Gaze.y,Gaze.z,Gazedir.x,Gazedir.y,Gazedir.z,KeyPress,TargetName,TargetPosition.x,TargetPosition.y,TargetPosition.z
2024-07-08T15:13:37.9170653-07:00,1720476817917065300,Null,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,None,t_1_2_3 (1),0,0,2.12
2024-07-08T15:13:38.4600666-07:00,1720476818460066600,Null,-0.001685599,-0.002299316,0.0006557927,-0.01694972,0.05714218,0.9982222,-0.02860115,-0.008419887,0.002053469,-0.001685599,-0.002299316,0.0006557927,-0.01694972,0.05714218,0.9982222,None,t_1_2_3 (1),0,0,2.12
2024-07-08T15:13:38.5180651-07:00,1720476818518065100,Null,-0.001949768,-0.002475715,0.0009041876,-0.01710948,0.05568468,0.9983018,-0.02787674,-0.008484557,0.00264785,-0.001949768,-0.002475715,0.0009041876,-0.01710948,0.05568468,0.9983018,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:38.6510853-07:00,1720476818651085300,Null,-0.001951809,-0.002629018,0.0009055361,-0.01752495,0.05519788,0.9983217,-0.02763255,-0.008696497,0.002520797,-0.001951809,-0.002629018,0.0009055361,-0.01752495,0.05519788,0.9983217,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:38.7230844-07:00,1720476818723084400,Null,-0.002024103,-0.002436326,0.0007104799,-0.01737154,0.05483781,0.9983441,-0.02745239,-0.0086192,0.002555984,-0.002024103,-0.002436326,0.0007104799,-0.01737154,0.0548378,0.9983441,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:38.7785835-07:00,1720476818778583500,Null,-0.002005861,-0.002408074,0.0004982054,-0.017776,0.0562476,0.9982586,-0.02816294,-0.00880633,0.00303757,-0.002005861,-0.002408074,0.0004982054,-0.017776,0.0562476,0.9982586,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:38.8360830-07:00,1720476818836083000,Null,-0.001997831,-0.00227677,0.0003564954,-0.0179263,0.05786855,0.9981632,-0.02897338,-0.008883527,0.002890222,-0.001997831,-0.00227677,0.0003564954,-0.0179263,0.05786855,0.9981632,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:38.8890839-07:00,1720476818889083900,Null,-0.002025313,-0.002211099,0.0001356676,-0.01754837,0.05825249,0.9981476,-0.02916296,-0.008700811,0.002655159,-0.002025313,-0.002211099,0.0001356676,-0.01754837,0.05825249,0.9981477,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:38.9440833-07:00,1720476818944083300,Null,-0.002086254,-0.002131919,0.0001033172,-0.01703993,0.05896869,0.9981144,-0.02952146,-0.008443267,0.002733998,-0.002086254,-0.002131919,0.0001033172,-0.01703993,0.05896869,0.9981144,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:38.9945835-07:00,1720476818994583500,Null,-0.002179467,-0.00221455,2.653152E-05,-0.01751959,0.05975248,0.9980595,-0.0299172,-0.008673309,0.003032814,-0.002179467,-0.00221455,2.653152E-05,-0.01751959,0.05975249,0.9980595,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:39.0622528-07:00,1720476819062252800,Null,-0.00231752,-0.002063801,4.883856E-05,-0.01824068,0.06058794,0.9979962,-0.03033528,-0.009037684,0.002875246,-0.00231752,-0.002063801,4.883856E-05,-0.01824068,0.06058794,0.9979962,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:39.1107534-07:00,1720476819110753400,Null,-0.002388042,-0.001885798,-3.366917E-05,-0.01810675,0.06160868,0.9979361,-0.03084777,-0.00896387,0.003052786,-0.002388042,-0.001885798,-3.366917E-05,-0.01810675,0.06160868,0.9979361,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:39.1607512-07:00,1720476819160751200,Null,-0.002487359,-0.001845859,-9.670109E-05,-0.01733011,0.06354453,0.9978285,-0.0318187,-0.008562095,0.003383441,-0.002487359,-0.001845859,-9.670109E-05,-0.01733011,0.06354453,0.9978286,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:39.2012528-07:00,1720476819201252800,Null,-0.002355481,-0.001210849,4.0479E-05,-0.01758829,0.06811483,0.9975224,-0.0341059,-0.008692916,0.003127225,-0.002355481,-0.001210849,4.0479E-05,-0.01758829,0.06811484,0.9975225,None,t_1_2_3 (1),0,-0.002299309,2.12
2024-07-08T15:13:39.2492508-07:00,1720476819249250800,Null,-0.00239332,-0.001139323,-2.637506E-06,-0.01681226,0.07307888,0.9971845,-0.03657878,-0.008352756,0.001620294,-0.00239332,-0.001139323,-2.637506E-06,-0.01681226,0.07307888,0.9971845,None,t_1_2_3 (1),0,-0.002299309,2.12
